iteration,experiment,failure_detection_time_ms,task_reassignment_time_ms,total_recovery_time_ms,task_completion_rate_pct,status
1,Failure_Handling,171.25894245240409,54.741843253696864,226.00078570610094,100.0,RECOVERED
2,Failure_Handling,134.79259311445765,80.59913785972651,215.39173097418416,100.0,RECOVERED
3,Failure_Handling,148.17119249192916,60.24630093917494,208.4174934311041,100.0,RECOVERED
4,Failure_Handling,171.22151006250687,80.60704212094157,251.82855218344844,100.0,RECOVERED
5,Failure_Handling,124.46507194902645,53.32939381057974,177.7944657596062,100.0,RECOVERED
